locality,latitude,longitude
Sai Baba Nagar Lane,19.217154,72.847992
Sai Samarth Mitra,19.205064,73.000493
Saki Naka,19.097029,72.884804
Sakinaka,19.099544,72.896887
Sambhaji Nagar,19.167628,72.950867
Sanpada,19.058691,73.010176
Santacruz,19.094564,72.856373
Santosh Nagar,19.223098,73.134315
Saphale,19.574237,72.823614
Sarsole,19.043558,73.010048
Satpati,19.718016,72.710121
Savitribai Phule Nagar,19.088697,72.914604
Seawoods,19.01349,73.019763
Sector 11 Koparkhairane,19.101072,73.015663
Sector 12 Kharghar,19.043913,73.065613
Sector 16 A,19.036116,73.008354
Sector 16 Vashi,19.076426,73.000938
Sector 17 Ulwe,18.963354,73.021076
Sector 17 Vashi,19.070246,72.998573
Sector 18 Kharghar,19.046745,73.080177
Sector 19 Kamothe,19.012912,73.094353
Sector 19 Kharghar,19.049266,73.077614
Sector 19 Ulwe,18.972446,73.028984
Sector 2 Charkop Kandivali,19.213562,72.819572
Sector 21 Ghansoli,19.130163,72.999382
Sector 21 Kamothe,19.013559,73.096311
Sector 21 Kharghar,19.049942,73.068565
Sector 21 Nerul,19.027391,73.02095
Sector 22 Kamothe,19.014702,73.100365
Sector 23 Ulwe,18.97682,73.03241
Sector 30 Kharghar,19.070475,73.07663
Sector 44 Seawoods,19.014942,73.013596
Sector 5 Ghansoli,19.119129,73.000153
Sector 6 Kamothe,19.022341,73.094785
Sector 8 Charkop,19.216797,72.81364
Sector-12 Kamothe,19.018676,73.088825
Sector-14 Koparkhairane,19.096621,73.002914
Sector-15 Ghansoli,19.123875,72.991081
Sector-20 Koparkhairane,19.107328,73.001884
Sector-3 Ghansoli,19.115068,73.004364
Sector-50 Seawoods,19.013386,73.022102
Sector-9 Ulwe,18.971817,73.017248
Sector-9A Vashi,19.076084,72.995918
Sector13 Kharghar,19.046602,73.072174
Sector15 Ghansoli,19.123875,72.991081
Sector20 Koparkhairane,19.108578,73.00061
Sector35D Kharghar,19.072079,73.079086
Sewri,18.99502,72.850076
Shahapur,19.45884,73.325341
Shahpur,19.098091,73.079071
Shelu,19.06397,73.316461
Sher E Punjab Colony,19.131245,72.860592
Shil Phata,19.16691,73.072071
Shilgaon,19.152104,73.047409
Shilphata,19.124597,73.06102
Shirgaon,19.156342,73.235161
Shivaji Park,19.028662,72.838507
Shivkar,18.983524,73.150116
Shreyas Colony,19.164572,72.856888
Shri Hari Nagar Kalyan,19.22072,73.12587
"Siddharth Nagar, Goregaon",19.159316,72.868185
Siddhartha Nagar,18.789774,73.353844
Sindhi Society Chembur,19.049931,72.891005
Sion,19.040655,72.86981
Sion Koliwada,19.040358,72.864471
Subhash Nagar,19.058937,72.904072
Tagore Nagar,19.114433,72.932164
Taloja,19.077035,73.103809
Taloja Panvel,19.080626,73.112343
Taloja Phase 2,19.111691,72.921623
Taloje,19.076512,73.108729
Tardeo,18.968573,72.811572
Tembhode Palghar,19.701859,72.756149
Thakur Village,19.209608,72.87157
Thakurli,19.223042,73.100028
Thane,19.234305,72.992395
Thane Diva,19.164883,73.040756
Tilak Nagar,19.068595,72.895304
Titwala,19.376992,73.261487
Ulhasnagar,19.276293,73.186165
Ulhasnagar 4,19.217018,73.165382
Ulwe,18.983296,73.063431
Umerkhadi,18.96085,72.838127
Umroli,19.206199,73.103635
Uran,18.877295,72.940781
Usarghar,19.182144,73.071205
Usarghar Gaon,19.166492,73.073311
Uttan,19.29045,72.792338
Vajreshwari,19.191896,72.969414
Vakas,19.015423,73.367508
Vakola Pipeline Road,19.08242,72.852287
Vakola Santacuz E,19.078878,72.850029
Vakola Yashwant Nagar,19.077293,72.854195
Vallabh Baug Lane,19.079292,72.907982
Vangani,20.622171,73.905602
Vasai,19.387024,72.836871
Vasant Vihar Thane,19.224514,72.968201
